dz_artist_id;dz_name;aliases;last_name_only;period_szk;period_s
1002824;Jérôme Ducros;Ducros;T;NA;NA
1011258;Michael Praetorius;Praetorius;T;Renaissance;Renaissance/Baroque
1016370;Leos Janacek;Janacek;T;;Romantique/Moderne
1016697;Louis Spohr;Spohr;T;;Classique/Romantique
101905;Josef MYSLIVEČEK;Josef Myslivecek | Mysliveček;T;;Classique
101921;Bedřich Smetana;Smetana;T;Romantique;Romantique
1024687;Guillaume Dufay;Dufay;T;Renaissance;Renaissance
1024810;Reynaldo Hahn;Reynaldo Hahn;F;Post-romantique;
1042666;André Messager;André Messager;F;NA;NA
1045;Léo Delibes;Delibes;T;Romantique;Romantique
10523;Richard Wagner;Wagner;T;Romantique;Romantique
10599;Giulio Caccini;Caccini;T;Renaissance;Renaissance/Baroque
10718;Johann Strauss II;Johann Strauss II | Strauss, J.II | Strauss, J. | Strauss;F;Romantique;Romantique
10880;Joseph Haydn;Haydn;T;Classique;Classique
10881;Richard Strauss;Richard Strauss | R.Strauss | Strauss, R.;F;Post-romantique;Romantique/Moderne
10954;Henry Purcell;Purcell;T;Baroque;
10964;Felix Mendelssohn;Felix Mendelssohn | Mendelssohn Bartholdy;T;Romantique;Romantique
1108548;Orlando Gibbons;Gibbons;T;;Baroque
114052;Antonín DVOŘÁK;Antonin Dvorak;T;;Romantique
11472;Franz Liszt;Liszt;T;Romantique;Romantique
1147915;John Ireland;John Ireland;F;;Romantique/Moderne
116663;Bohuslav Martinů;Martinu;T;Moderne;Moderne
1198051;Peter Schickele;Peter Schickele;;;Moderne
12004;Pierre Henry;Pierre Henry | P. Henry;F;Contemporaine;
1203487;Luigi Cherubini;Luigi Cherubini;T;Classique;Classique/Romantique
1203773;Giovanni Paisiello;Paisiello;T;;Classique
1225480;William Walton;Walton;T;;Moderne
122899;Enrique Granados;Enrique Granados;T;Romantique;Romantique
1229422;Gordon Langford;Gordon Langford;T;NA;NA
1229573;Eric Coates;Eric Coates;T;;Romantique/Moderne
1230971;Georges Auric;Georges Auric;T;Moderne;Moderne
1247420;Arnold Schoenberg;Schoenberg;T;Moderne;Romantique/Moderne
1255285;Alan Hovhaness;Hovhaness;T;;Moderne
1264933;Hildegard von Bingen;Hildegard Von Bingen;T;Médiévale;Médiévale
1273843;Hugo Wolf;Hugo Wolf;F;Romantique;Romantique
1276853;Conlon Nancarrow;Conlon Nancarrow;T;Contemporaine;
12913;Arcangelo Corelli;Corelli;T;Baroque;Baroque
12944;Giovanni Pierluigi da Palestrina;Da Palestrina;T;Renaissance;Renaissance
1314838;Ned Rorem;Ned Rorem;T;;Moderne
13152;Pino Donaggio;Pino Donaggio;T;;Moderne
132053;Lepo Sumera;Lepo Sumera;;NA;NA
13214;Gabriel Fauré;Fauré;T;Post-romantique;Romantique/Moderne
1325230;Joseph Joachim;Joseph Joachim;F;NA;NA
1325231;Pablo De Sarasate;De Sarasate;T;;Romantique
1328614;Alban Berg;Berg;T;Moderne;Romantique/Moderne
1329319;George Benjamin;George Benjamin;;NA;NA
1329417;Ottorino Respighi;Respighi;T;;Romantique/Moderne
1329418;Giacomo Meyerbeer;Meyerbeer;T;Romantique;Classique/Romantique
1329432;John Luther Adams;John Luther Adams;;NA;NA
1330459;Morton Feldman;Feldman;T;NA;NA
1333042;Antoine Brumel;Antoine Brumel;;;Renaissance
13332;André Previn;Andre Previn;;;Moderne
13338;Charles Gounod;Gounod;T;Romantique;Romantique
133610;Tan Dun;Tan Dun | Tan, Dun;F;NA;NA
1339708;Edison Denisov;Edison Denisov;T;NA;NA
1340605;Anton Webern;Webern;T;Moderne;Romantique/Moderne
1341512;Anton Rubinstein;Rubinstein;F;;Romantique
13432;Georg Philipp Telemann;Telemann;T;Baroque;Baroque/Classique
135352;Morton Gould;Morton Gould;F;;Moderne
13777;Jules Massenet;Massenet;T;Romantique;Romantique
1381231;Fabrice Aboulker;Fabrice Aboulker;T;NA;NA
1388221;Frederick Delius;Frederick Delius;T;Moderne;Romantique/Moderne
1388374;George Enescu;George Enescu;T;;Romantique/Moderne
1393586;Nadia Boulanger;Nadia Boulanger;F;Moderne;Romantique/Moderne
1423717;Tomas Luis De Victoria;Tomas Luis De Victoria;T;Renaissance;Renaissance/Baroque
1436655;Oskar Schuster;Joseph Schuster;F;NA;NA
14688;Isaac Albéniz;Isaac Albéniz;T;Romantique;Romantique
14708;Giya Kancheli;Giya Kancheli;T;Contemporaine;
14725;Gustav Holst;Holst;T;Moderne;Moderne
1487340;Bruce Broughton;Bruce Broughton;T;NA;NA
1492271;Marin Marais;Bruno Mantovani | Marin Marais;F;Baroque;Baroque
14939;Gavin Bryars;Bryars;T;;Moderne
14944;Christoph Willibald Gluck;Gluck;T;Classique;Baroque/Classique
14945;Gaetano Donizetti;Donizetti;T;Pré-romantique;Classique/Romantique
14947;Pietro Mascagni;Mascagni;T;;Romantique/Moderne
14978;Luigi Boccherini;Boccherini;T;Classique;Classique
14980;Giovanni Battista Pergolesi;Pergolesi | Pergolèse;T;Baroque;
14981;Robert Schumann;Schumann;T;Romantique;Romantique
15014;Charles Ives;Ives;T;Moderne;Romantique/Moderne
1509000;Peter Eötvös;Peter Eotvos;T;;Moderne
1524139;Christopher Gunning;Christopher Gunning;T;;Moderne
1531;Carl Nielsen;Carl Nielsen;;Romantique;Romantique/Moderne
153468;Michaël Lévinas;Lévinas;T;NA;NA
1538646;Mario Castelnuovo-Tedesco;Castelnuovo-Tedesco;T;;Moderne
15546;César Franck;Cesar Franck;;Post-romantique;Romantique
155504;Domenico Scarlatti;Domenico Scarlatti;T;Baroque;Baroque
1555616;Eduard Strauß;E. Strauss;F;NA;NA
1556240;Johann Nepomuk Hummel;Hummel;T;Pré-romantique;Classique/Romantique
157083;William Byrd;Byrd;T;Renaissance;Renaissance/Baroque
15808;Steve Reich;Steve Reich;F;Contemporaine;Moderne
159192;Francis Poulenc;Poulenc;T;Moderne;Moderne
159687;Mike Batt;Arnold Batt;T;;Moderne
1603278;Charles Koechlin;Koechlin;T;Moderne;
1603280;Eugène Ysaÿe;Ysaÿe | Eugene Ysaye;T;;Romantique/Moderne
1603288;Francisco Guerrero;Guerrero;T;;Renaissance
1603296;Cristobal de Morales;Cristobal De Morales;;;Renaissance
1603299;Carl Friedrich Abel;Karl Friedrich Abel | Carl Friedrich Abel ;F;Classique;Baroque/Classique
1603303;Dieterich Buxtehude;Buxtehude;T;Baroque;Baroque
1603308;John Dowland;Dowland;T;Renaissance;Renaissance/Baroque
1603348;Jacques Ibert;Jacques Ibert;T;Moderne;Moderne
1603377;Joseph Bodin de Boismortier;Joseph Bodin De Boismortier | Boismortier;T;Baroque;Baroque
1603380;Johann Joachim Quantz;Johann Joachim Quantz;T;Baroque;Baroque/Classique
1603480;Hanns Eisler;Hanns Eisler;;;Moderne
1603483;Moritz Moszkowski;Moszkowski;T;;Romantique/Moderne
1603526;Giovanni Gabrieli;Gabrieli;T;Renaissance;Renaissance
1603529;Antonio de Cabezon;Cabezon;T;;Renaissance
1603533;Baldassare Galuppi;Galuppi;T;;Baroque/Classique
1603637;Morten Lauridsen;Lauridsen;T;;Moderne
1603674;William Grant Still;William Grant Still;;;Moderne
1603709;Henryk Wieniawski;Henryk Wieniawski;T;;Romantique
1603717;Johannes Ciconia;Johannes Ciconia;;;Médiévale/Renaissance
1603723;Jehan Alain;Jehan Alain;;Moderne;
1603791;Peteris Vasks;Pēteris Vasks | Vasks;T;NA;NA
1603856;György Kurtag;Kurtág;T;Contemporaine;
1603889;Alessandro Marcello;Alessandro Marcello;;Baroque;
1603892;Luca Marenzio;Marenzio;T;;Renaissance
1603894;Karol Szymanowski;Szymanowski;T;Moderne;Romantique/Moderne
1603896;Francesco Cavalli;Francesco Cavalli;T;Baroque;Baroque
1603915;Antonio Soler;Antonio Soler;;;Baroque/Classique
1603937;Henri Sauguet;Henri Sauguet;;Moderne;
1603938;Alexandre Tansman;Alexandre Tansman;;Moderne;Moderne
1612551;Thomas Tallis;Tallis;T;Renaissance;Renaissance
1613;Arvo Pärt;Part | Pärt;T;Contemporaine;Moderne
16159;Jeremiah Clarke;Jeremiah Clarke;;;Baroque
1617342;Albert Roussel;Albert Roussel;;Moderne;Romantique/Moderne
1617419;Jean-Baptiste Lully;Lully;T;Baroque;Baroque
1617431;Jacob Obrecht;Jacob Obrecht;;Renaissance;Renaissance
1617475;Gerald Finzi;Finzi;T;;Moderne
1617605;Henri Duparc;Henri Duparc;;Romantique;Romantique/Moderne
1617615;Roland de Lassus;De Lassus | Lassus;T;Renaissance;Renaissance
1617696;Etienne-Nicolas Mehul;Méhul;T;;Classique
1617772;David Lang;David Lang;F;NA;NA
1617781;Carl Czerny;Czerny;T;Classique;Classique/Romantique
1617784;Kaija Saariaho;Kaija Saariaho;T;NA;NA
1617785;Einojuhani Rautavaara;Rautavaara;T;;Moderne
1617799;Deodat de Séverac;Marie-Joseph-Alexandre Deodat De Severac;T;Moderne;
1617813;Jan Pieterszoon Sweelinck;Jan Pieterszoon Sweelinck | Sweelinck;T;Renaissance;Renaissance/Baroque
1617824;Sofia Gubaidulina;Goubaidoulina | Gubaidulina;T;NA;NA
1617880;Guillaume de Machaut;Guillaume De Machaut;;Médiévale;Médiévale
1617946;Francesco Landini;Francesco Landini;;;Médiévale
1617947;Johannes Ockeghem;Ockeghem;T;Renaissance;Renaissance
1617960;Zoltan Kodaly;Zoltán Kodály;T;Moderne;
1617992;François Devienne;Francois Devienne;;Classique;Classique
1618817;John Blow;John Blow;;;Baroque
1618820;Ernest Chausson;Chausson;T;Romantique;Romantique
1618862;Luigi Dallapiccola;Dallapiccola;T;;Moderne
1618865;André Campra;Campra;T;Baroque;
1618871;Henri Vieuxtemps;Vieuxtemps;T;;Romantique
1618881;Antonio Caldara;Caldara;T;Baroque;
1622901;Edward MacDowell;Macdowell;T;;Romantique
1623490;Jacob Gade;Jacob Gade;;Moderne;Romantique
16266;François Couperin;Couperin;T;Baroque;Baroque
163081;Alfred Schnittke;Alfred Schnittke;;;Moderne
1632431;Arnold Bax;Arnold Bax;;Moderne;Romantique/Moderne
1632436;Aram Khatchaturian;Aram Khatchatourian | Khatchaturian;T;Moderne;
1635;Erik Satie;Satie;T;Moderne;Romantique/Moderne
1635034;Jennifer Higdon;Higdon;T;NA;NA
1635063;Carlo Gesualdo;Gesualdo;T;Renaissance;Renaissance/Baroque
1635066;Carl Stamitz;Carl Stamitz | C. Stamitz;F;;Classique
1635075;Muzio Clementi;Clementi;T;Classique;Classique/Romantique
1636675;Antonio Salieri;Salieri;T;Classique;Classique
1636840;Francesco Geminiani;Geminiani;T;;Baroque/Classique
1636859;Josquin des Prés;Josquin Des Prez | Josquin Des Pres;F;Renaissance;Renaissance
1636876;Frank Bridge;Franck Bridge;;Moderne;Romantique/Moderne
1636891;William Lawes;William Lawes;;;Baroque
1636920;John Field;John Field;;Classique;Romantique
1636951;Joseph Martin Kraus;Kraus;T;Classique;Classique
1636970;Johann Stamitz;Johann Stamitz | J. Stamitz;T;NA;NA
1636986;Ernst Krenek;Ernst Krenek;;;Moderne
1636992;Carl Ditters von Dittersdorf;Carl Ditters Von Dittersdorf | Karl Ditters Von Dittersdorf;T;;Classique
1636995;Giuseppe Tartini;Tartini;T;Baroque;Baroque/Classique
1637007;Giovanni Battista Sammartini;Sammartini;T;Baroque;Baroque/Classique
1637064;Joseph Canteloube;Canteloube;T;Moderne;Romantique/Moderne
1637111;Manuel Ponce;Manuel Ponce;;;Romantique/Moderne
1637139;Johann Christoph Friedrich Bach;Johann Christoph Friedrich Bach;F;NA;NA
1637145;Leopold Mozart;Leopold Mozart;F;Classique;Baroque/Classique
1637165;Wilhelm Friedemann Bach;Wilhelm Friedemann Bach;F;Baroque;Baroque/Classique
1637200;Samuel Coleridge-Taylor;Coleridge-Taylor;T;;Romantique
1637215;Reinhold Glière;Glière;T;Post-romantique;Romantique/Moderne
1637464;Louis Vierne;Vierne;T;NA;NA
1637546;Celedonio Romero;Celedonio Romero;;NA;NA
1637563;Rebecca Clarke;Rebecca Clarke;;;Romantique/Moderne
163759;Isabelle Aboulker;Isabelle Aboulker;;Contemporaine;
1637646;Pierre de la Rue;Pierre De La Rue;;Renaissance;Renaissance
