"";"dz_artist_id";"dz_name"
"1";"200644277";"liam chapard"
"2";"171441007";"brikiris"
"3";"167998637";"fjellson weber"
"4";"157330952";"jaime mason"
"5";"122281562";"tomás peire serrate"
"6";"121659382";"simon leoza"
"7";"120356632";"nel aique"
"8";"116242992";"vetle nærø"
"9";"113557282";"eydís evensen"
"10";"107026052";"paulette verlée"
"11";"105611132";"lindolfo gargiulo"
"12";"104063202";"alkemie"
"13";"102836582";"søndag søndag"
"14";"101101852";"swaffer"
"15";"98194612";"yu-peng chen"
"16";"92837852";"a. blomqvist"
"17";"91608322";"reyn"
"18";"91338362";"julian tenembaum"
"19";"91229092";"eusebius"
"20";"87101802";"david jalbert"
"21";"75755802";"elliott jack sansom"
"22";"74001872";"stelios kerasidis"
"23";"73719072";"megan wofford"
"24";"72392042";"hiroco.m"
"25";"68924862";"rebecca jean rossi"
"26";"67675532";"alcon blue"
"27";"66913692";"alexander mercks"
"28";"65594902";"jacob mühlrad"
"29";"65526602";"davide sammarchi"
"30";"64674272";"nel swerts"
"31";"60651622";"ncsound"
"32";"60223962";"gavin luke"
"33";"60223302";"silver maple"
"34";"59528942";"konstantin kokourov"
"35";"56942042";"emiliano blangero"
"36";"56170302";"hoyo-mix"
"37";"55806922";"cameron segal"
"38";"55034012";"herdís stefánsdóttir"
"39";"49537572";"cecile seraud"
"40";"48249782";"nico casal"
"41";"39595782";"martèn legrand"
"42";"15277391";"jordane tumarinson"
"43";"15222673";"minxz"
"44";"15212983";"edmundsson"
"45";"14754719";"domenico masiello"
"46";"14278451";"ô lake"
"47";"14129449";"dirk mallwitz"
"48";"13926913";"jamal green"
"49";"13876245";"marcello liverani"
"50";"13808769";"by gunnarsson"
"51";"13591043";"john corlis"
"52";"13467317";"sirius eyes"
"53";"13143363";"andrea vanzo"
"54";"12629751";"joão balouta"
"55";"12584982";"ilmari hakkola"
"56";"12566278";"hania rani"
"57";"12494746";"piotr musiał"
"58";"12336168";"riopy"
"59";"12336168";"jean-philippe rio-py"
"60";"12292510";"piotr wiese"
"61";"12281358";"kali malone"
"62";"12276898";"rafael krux"
"63";"12137584";"isobel waller-bridge"
"64";"11866597";"kelly moran"
"65";"11646065";"moux"
"66";"11494338";"dario lessing"
"67";"11430370";"olivia belli"
"68";"11425202";"stefan truyman"
"69";"11415316";"jung jaeil"
"70";"11389690";"melissa parmenter"
"71";"11288256";"tim linghaus"
"72";"11085344";"concernedape"
"73";"11082932";"stephen malinowski"
"74";"11062200";"alban claudin"
"75";"10972226";"luca d'alberto"
"76";"10901302";"ed carlsen"
"77";"10834900";"michael forster"
"78";"10616223";"gian marco castro"
"79";"10495577";"anne-sophie versnaeyen"
"80";"10468691";"toby fox"
"81";"10113628";"nathan shubert"
"82";"10069076";"mattia vlad morleo"
"83";"9999386";"camille pépin"
"84";"9961862";"harry allouche"
"85";"9961172";"lucas debargue"
"86";"9935534";"daigo hanada"
"87";"9926222";"matt stewart-evans"
"88";"9789718";"jean-michel blais"
"89";"9644422";"garreth broke"
"90";"9628436";"luca mazzillo"
"91";"9582452";"erland cooper"
"92";"9471096";"federico mecozzi"
"93";"9379488";"belle chen"
"94";"9226654";"saul simon macwilliams"
"95";"9101498";"caroline leisegang"
"96";"9042652";"jordan gagne"
"97";"9029852";"peter sandberg"
"98";"8980120";"sergio díaz de rojas"
"99";"8946662";"david ridley"
"100";"8629006";"emilie levienaise-farrouch"
"101";"8624214";"dmitry evgrafov"
"102";"8591530";"kim andre arnesen"
"103";"8584832";"armin haas"
"104";"8572072";"gabriel saban"
"105";"8202452";"alex kovacs"
"106";"8170784";"anthony willis"
"107";"8167204";"anne chmelewsky"
"108";"8056145";"joel nielsen"
"109";"7987470";"florian christl"
"110";"7880674";"niklas paschburg"
"111";"7799750";"julien marchal"
"112";"7619102";"hasan ozsut"
"113";"7373986";"maesa"
"114";"7307038";"mikolai stroinski"
"115";"7131431";"gunther hasselmann"
"116";"7004385";"olivier cussac"
"117";"6974805";"elitsa alexandrova"
"118";"6868719";"norman dück"
"119";"6868135";"luke woodapple"
"120";"6747671";"justin hurwitz"
"121";"6730475";"julia andersson"
"122";"6619904";"pasquale laino"
"123";"6505041";"wilson trouvé"
"124";"6486101";"nicklas schmidt"
"125";"6416622";"marcus warner"
"126";"6273246";"mikael ayrapetyan"
"127";"6269794";"alexandre lessertisseur"
"128";"5985650";"gothic storm"
"129";"5981534";"chris tolley"
"130";"5962324";"hildur guðnadóttir"
"131";"5907855";"samuel sim"
"132";"5894071";"nima fakhrara"
"133";"5870020";"darren korb"
"134";"5841598";"elisabeth skornik"
