"";"dz_name.x";"diff_raw";"factor_raw";"diff";"factor"
"1";"Igor Stravinsky";839;11,6527777777778;347;5,91477272727272
"2";"Jacques Offenbach";3207;9,34985422740525;1455;9,35082820091048
"3";"Joseph Haydn";1400;8,09248554913295;408;4,00093392481907
"4";"Richard Strauss";1065;7,60714285714286;308;5,73556797020484
"5";"Robert Schumann";2320;5,42056074766355;792;4,18436147730704
"6";"Henry Purcell";1751;5,09011627906977;687;6,75294888597643
"7";"Georges Bizet";2164;5,05607476635514;1014;3,32056288271482
"8";"Christoph Willibald Gluck";528;4,51282051282051;139;4,71186440677966
"9";"Felix Mendelssohn";1765;4,50255102040816;640;2,85843413531835
"10";"Franz Liszt";2578;3,86506746626687;1120;2,94866169372532
"11";"Gustav Mahler";868;3,84070796460177;305;2,04158692835137
"12";"Franz Schubert";6809;3,80816554809843;2639;3,2887467287002
"13";"Hector Berlioz";674;3,7032967032967;241;2,70302026864635
"14";"Antonio Vivaldi";27164;3,53283912082195;10203;1,81072373567601
"15";"Jean Sibelius";799;3,07307692307692;249;2,20289000294899
"16";"Gioachino Rossini";1190;2,71070615034169;330;1,82165119549594
"17";"Wolfgang Amadeus Mozart";26278;2,6535393315157;10190;2,47485335341579
"18";"Giacomo Puccini";2222;2,57175925925926;665;3,56237883065202
"19";"Pyotr Ilyich Tchaikovsky";6932;2,49801801801802;2408;1,17988401353759
"20";"Richard Wagner";1319;2,28596187175043;510;1,53333784365111
"21";"Ludwig van Beethoven";12239;2,23584216295214;5536;1,65762715093972
"22";"Johann Sebastian Bach";21126;1,99622035339696;8897;1,46497449968542
"23";"Maurice Ravel";2437;1,88185328185328;871;1,45263220593053
"24";"George Gershwin";517;1,6517571884984;146;0,80551724137931
"25";"Domenico Scarlatti";132;1,65;49;1,20987654320988
"26";"Johannes Brahms";3004;1,64332603938731;995;1,37099552187392
"27";"Claude Debussy";4244;1,30303960700031;1860;1,01360490817287
"28";"Giuseppe Verdi";2694;1,2;845;1,28639209002711
"29";"Sergei Prokofiev";1010;1,18405627198124;353;0,862026862026862
"30";"Georg Friedrich Haendel";1382;1,18119658119658;405;0,7298669777028
"31";"Jean-Baptiste Lully";870;1,10126582278481;296;0,924807331805873
"32";"Carl Orff";481;1,01476793248945;238;1,24331193290063
"33";"Meredith Monk";61;0,968253968253968;20;0,436363636363637
"34";"Antonio Salieri";54;0,964285714285714;15;0,350194552529183
"35";"Edvard Grieg";530;0,568669527896996;134;0,249530025183556
"36";"Federico Mompou";23;0,560975609756098;11;0,268292682926829
"37";"Francis Poulenc";66;0,545454545454545;26;0,476169711769067
"38";"Erik Satie";2203;0,540613496932515;1014;0,311413106069331
"39";"Manuel De Falla";14;0,466666666666667;6;0,210526315789474
"40";"Sergei Rachmaninov";801;0,434146341463415;297;0,488286066584464
"41";"Gustav Holst";25;0,409836065573771;12;0,374025974025974
"42";"Dmitri Shostakovich";50;0,36231884057971;14;0,251346499102334
"43";"Arvo Pärt";113;0,361022364217252;33;0,156805068446657
"44";"John Williams";546;0,331109763493026;179;0,133953388924525
"45";"Steve Reich";32;0,26890756302521;15;0,182555780933063
"46";"Jean-Philippe Rameau";25;0,233644859813084;11;0,165995975855131
"47";"Edward Elgar";18;0,216867469879518;9;0,1875
"48";"Philip Glass";748;0,155800874817746;367;0,105533056960054
"49";"Jacques Revaux";61;0,137697516930023;29;0,105266341994616
"50";"Camille Saint-Saëns";85;0,065738592420727;34;0,0598922107970949
"51";"Gabriel Fauré";47;0,0547785547785548;19;0,0479189537531328
