"";"artist_id";"name";"gender"
"1";105317022;"Kameron Richardson";"uncertain"
"2";1313850;"Ayumi";"female"
"3";796139;"The Black Sails";"uncertain"
"4";11794417;"Jerry Ropero & Denis The Menace pres. Sabor";"male"
"5";5499943;"Mashanda";"uncertain"
"6";1411952;"FROIDZ";"uncertain"
"7";109673702;"张晓楠";"uncertain"
"8";4716555;"Petra Noskaiova";"female"
"9";190377;"The New York Philomusica Winds";"uncertain"
"10";5843803;"Guillaume Pervieux";"male"
"11";64466522;"Lil Perco";"uncertain"
"12";97605;"Gumball";"male"
"13";64838;"Fabienne Thibeault";"female"
"14";52663612;"Lloyd Vaan";"male"
"15";7088907;"Paul Chambe";"male"
"16";64049;"Ashley Wallbridge";"male"
"17";4648927;"Mariana Féo";"female"
"18";1561546;"City Of Lights";"uncertain"
"19";112798942;"Yori L'Horrible";"uncertain"
"20";321614;"Alphonso Johnson";"male"
"21";11085664;"Rico Nasty";"female"
"22";5277842;"Father's Children";"male"
"23";6243422;"Georgie Jacquet";"uncertain"
"24";6058688;"Daniel Picq";"male"
"25";10120960;"Mala";"uncertain"
"26";64478242;"Karlaaa";"female"
"27";79705572;"Big Nico";"uncertain"
"28";4585702;"Jackie-o";"female"
"29";7275;"Atomic Rooster";"male"
"30";99271392;"N.I.N.A";"uncertain"
"31";91666692;"Cool Jazz Lounge";"uncertain"
"32";550768;"Bubble Club";"uncertain"
"33";4584312;"Tha Realest";"male"
"34";161790942;"Alva Brunel";"female"
"35";5271090;"Hernán Carchak Band";"male"
"36";9606138;"DJ Llamas";"uncertain"
"37";345499;"Bling Bling";"uncertain"
"38";146949592;"Madame OSCAR";"female"
"39";243761;"Fonseca";"male"
"40";152288302;"PXNDORA NXGHTS";"uncertain"
"41";15391;"The African Brothers";"male"
"42";68341502;"Su Lee";"female"
"43";147538;"Cafe Praga";"uncertain"
"44";1045984;"Les Madeleines";"uncertain"
"45";2572251;"Sukiyaki";"uncertain"
"46";144655302;"SAOTOMAMORE";"uncertain"
"47";13466151;"The Du-Rites";"uncertain"
"48";398709;"The Telescopes";"male"
"49";137245532;"Rafael Foxx";"male"
"50";1229637;"Classic Ringtone Crew";"uncertain"
"51";5233926;"Apollon Musagete Quartett";"uncertain"
"52";7817066;"Warhola";"uncertain"
"53";11887373;"OSHEA Davaun";"male"
"54";995619;"Chevy";"uncertain"
"55";1373326;"Siavash Amini";"male"
"56";77855322;"CeCe Peniston, Steve Silk Hurley";"mixed"
"57";10574937;"De9";"uncertain"
"58";9850326;"Fayçal Al Halibi";"male"
"59";1496511;"Alfred";"male"
"60";1770;"Eskobar";"male"
"61";5518614;"Barbarian Pipe Band";"uncertain"
"62";7744896;"Rico Richie";"male"
"63";126908;"Counterweight";"uncertain"
"64";243438;"Donna Maria";"female"
"65";139124762;"Draggy Proceedings";"uncertain"
"66";1006223;"Sandrine Piau, Régis Pasquier, Philippe Bianconi, Quatuor Parisii";"female"
"67";180372187;"Edgar Prentice";"male"
"68";4760;"Slint";"male"
"69";14043193;"Iksam";"uncertain"
"70";5089705;"Nicolas van Poucke";"male"
"71";1691773;"Riot Ten";"male"
"72";1019456;"DJ KING";"uncertain"
"73";76155;"Ed Ames";"male"
"74";4386483;"Norichika Iimori";"male"
"75";4542373;"M.G. Sreekumar";"male"
"76";8670954;"Kayuá";"uncertain"
"77";4315808;"Allison Burnside Express";"female"
"78";8421366;"Vargas";"uncertain"
"79";2862751;"Kdm";"uncertain"
"80";14611603;"Taiyel";"uncertain"
"81";12547766;"Fka Mash";"uncertain"
"82";76325642;"Anyidons";"uncertain"
"83";472013;"Summer Soul";"uncertain"
"84";408216;"Pollyn";"uncertain"
"85";111426912;"MRF";"uncertain"
"86";70240;"Asgard";"uncertain"
"87";11524509;"Insane Klan";"uncertain"
"88";103428562;"Ycr";"uncertain"
"89";91956;"Enes";"male"
"90";6708543;"Niko G4";"male"
"91";85233112;"Samir Flynn";"male"
"92";80998222;"Dj Terrorista";"uncertain"
"93";120282012;"Tryhan";"uncertain"
"94";1206634;"DARKWOOD";"uncertain"
"95";194266;"7 Seconds";"male"
"96";9960454;"Udo Bönstrup";"male"
"97";7407;"Jhelisa";"female"
"98";164044887;"Valerie Skye";"female"
"99";111240882;"Partner Look";"uncertain"
"100";13147221;"EL KAMEL";"male"
"101";2932;"Nine Days";"male"
"102";60031702;"Jazz Asmr";"uncertain"
"103";4497789;"E Street Band";"male"
"104";14007429;"Esme";"female"
"105";876948;"Tom Bailey";"male"
"106";58680;"Dimitri Mitropoulos";"male"
"107";1420765;"Epysode";"uncertain"
"108";165691007;"Richaffair Kingston";"uncertain"
"109";183982;"Woolfy vs. Projections";"uncertain"
"110";176204;"Tameka Starr";"female"
"111";144647;"Ama";"uncertain"
"112";183880337;"Aidan Whitney";"male"
"113";5105685;"Negra";"uncertain"
"114";70462;"Henschel Quartet";"male"
"115";147385262;"El Tiempo Central";"uncertain"
"116";4038753;"Oscar Zia";"male"
"117";60221132;"Roar Beats";"uncertain"
"118";56918;"Löbe Radiant Dub System";"uncertain"
"119";179286947;"Alz Hendrix";"male"
"120";5377793;"Amee";"female"
"121";2797491;"Stoned Butterflies";"uncertain"
"122";11481860;"Dj Kratos";"male"
"123";10772;"François Feldman";"male"
"124";115588912;"Analog Anarchists";"uncertain"
