dz_artist_id,sc_artist_id,mbz_artist_id
130,563079,NA
301,575090,NA
748,563691,NA
888,598109,NA
1130,33388,NA
1725,561835,NA
2251,587718,NA
2536,1033442,NA
3191,638882,NA
3191,13941,NA
3350,567403,NA
3433,657235,NA
3554,21508,NA
4063,3489086,NA
5353,564612,NA
5551,564916,NA
6304,590976,NA
6376,578696,NA
7585,769342,NA
7768,595552,NA
8153,82848,NA
9117,563624,NA
9242,15186,NA
10852,564534,NA
12125,676137,NA
12474,580284,NA
12810,605626,NA
13676,575103,NA
13795,3754294,NA
13866,727467,NA
15312,637812,NA
16003,575168,NA
17076,2989911,NA
54130,2045368,NA
55383,623366,NA
55737,716527,NA
55771,576894,NA
55916,37955,NA
56386,780833,NA
57018,658242,NA
57180,955516,NA
57395,722626,NA
57793,611420,NA
58877,23212,NA
68414,12710,NA
68598,894783,NA
70889,1883629,NA
76884,837638,NA
77600,2134527,NA
78772,642953,NA
84945,702062,NA
85074,770464,NA
85078,770513,NA
85081,1002137,NA
85082,718345,NA
91948,575191,NA
92757,2642825,NA
92777,817287,NA
92778,797785,NA
92830,1317760,NA
94221,1311762,NA
94226,565351,NA
124952,797784,NA
151335,1632229,NA
152068,587301,NA
248102,805719,4a069029-4f64-4946-b650-01aeb0b55d9d
289831,562537,NA
309680,1014090,fa4d8f21-133a-4dab-9e68-eea825f23ab1
394667,6737135,NA
436733,5480222,NA
455489,37043,224f3378-404f-4ae9-97ec-f3544e9d3dd6
468847,848777,NA
561821,681466,NA
875419,4811066,NA
895570,2025031,NA
1028626,882947,9c64faef-bf6f-4fad-8425-0c5e96ce07c4
1033392,614058,d9cc01f4-e06f-498d-93ce-057335b4aee0
1088859,9018343,5e4e9aff-d569-48c8-a1ed-9a5a895ac5c1
1196215,2033348,NA
1377470,2134334,NA
1408621,587362,NA
1408621,571192,NA
1437823,4959630,30696508-7d1d-47b9-91d3-7db0a5413c3d
1486813,1632225,NA
1501881,2024040,37a7f900-5327-4a93-9132-df96743ce076
1503380,15598,NA
1508696,1362980,NA
1533165,865308,NA
1635714,3636043,NA
1635714,1019573,NA
4025973,1440118,ac82b506-862d-479e-9b52-685fb110ca23
4328425,3321238,NA
4333887,1125631,NA
4385064,946483,NA
4416801,4332515,NA
4438587,5010733,NA
4553622,1530166,cbd7cc5e-4e70-43a9-b6d4-b8a8afdf6085
4720719,5792958,NA
4794435,1076163,NA
4856051,1361070,NA
4868580,2030422,NA
5013120,3299566,NA
5062319,84393,NA
5144502,5491853,3452e563-ccc5-4037-8046-03eef3da5be8
5241750,4849543,NA
5384684,2134330,NA
5593078,2449146,NA
5886866,3774261,NA
5917217,4795890,2cbaa52a-a0ac-4366-8de8-51d60267e570
6358380,5982545,NA
6887371,3724421,NA
7548660,647497,NA
7556588,4511866,NA
8125697,5981792,6d33391a-a685-45bd-8c5d-deaf24f0d82f
8184248,2161091,NA
8409650,4845452,NA
8850904,2433756,NA
9115926,5901633,NA
9644268,3773763,NA
9830970,4911291,NA
9961576,3613538,NA
10147346,4289599,NA
10147346,4289600,NA
10182750,3066806,NA
10200920,4872593,NA
10391776,5065100,NA
11100244,3328894,0946cd05-ec09-47a1-8ff2-2b76ac794e62
11234719,2850966,be4520fa-4b49-4e0f-b54e-d70f68f51263
11274354,3560562,NA
11317134,5023225,520484f8-890f-4d02-9c4a-c640f27c6919
12142738,5759709,NA
12218918,4007288,56c30f88-8a34-45e2-9303-cc1fa3146b12
12236096,3996992,NA
12271282,4866713,NA
12337914,3748406,be3de614-0584-4989-996c-377c60655ec1
12526316,3747637,NA
12546038,5453614,NA
12731273,602432,NA
13207383,1486594,6da99373-7166-4686-817c-17bc52633a85
13314513,9434903,NA
13357141,5468700,7d098049-74d7-40bd-a88a-9e1d3e73e373
13362347,4077928,9914544b-21b5-4d84-b0ee-fc4d87b92e82
13381609,9358766,NA
13835607,6691235,NA
13835607,5453610,NA
14498725,7841454,NA
51495052,5940411,530454be-581b-4df1-b345-ac0ff897107a
