id;libm;libf;liste;codeu;ingcad_supv;ingcad_nsupv;tecam_supv;tecam_nsupv;ouvemp_supv;ouvemp_nsupv;nr_supv;nr_nsupv;inde_0_9;inde_sup10;inde_nr;ssvaran
2;2023;2023;1;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO;ISCO
3;Abat-jouriste;Abat-jouriste;1;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533;7533
4;Abatteur d'arbres;Abatteuse d'arbres;1;6210;6210;6210;6210;6210;6210;6210;6210;6210;6210;6210;6210;6210
5;Abatteur de bestiaux;Abatteuse de bestiaux;1;7511;7511;7511;7511;7511;7511;7511;7511;7511;7511;7511;7511;7511
6;Abatteur de carrières;Abatteuse de carrières;1;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111
7;Abatteur de mines;Abatteuse de mines;1;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111;8111
8;Abouteur colleur;Abouteuse colleuse;1;7522;7522;7522;7522;7522;7522;7522;7522;7522;7522;7522;7522;7522
9;Accessoiriste de décor;Accessoiriste de décor;1;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435
10;Accessoiriste de plateau;Accessoiriste de plateau;1;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435;3435
5790;Accompagnant éducatif et social (AES) à domicile;Accompagnante éducative et sociale (AES) à domicile;1;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412
5791;Accompagnant éducatif et social (AES) à l'éducation inclusive et à la vie ordinaire;Accompagnante éducative et sociale (AES) à l'éducation inclusive et à la vie ordinaire;1;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412
11;Accompagnant éducatif et social (AES) en structure collective;Accompagnante éducative et sociale (AES) en structure collective;1;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412
12;Accompagnant des élèves en situation de handicap (AESH);Accompagnante des élèves en situation de handicap (AESH);1;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412
13;Accompagnateur de bus, de car;Accompagnatrice de bus, de car;1;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112
14;Accompagnateur à l'emploi;Accompagnatrice à l'emploi;1;2423;2423;2423;2423;2423;2423;2423;2423;2423;2423;2423;2423;2423
15;Accompagnateur musical;Accompagnatrice musicale;1;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652
16;Accompagnateur à la scolarité;Accompagnatrice à la scolarité;1;2359;2359;2359;2359;2359;2359;2359;2359;2359;2359;2359;2359;2359
17;Accompagnateur socio-éducatif;Accompagnatrice socio-éducative;0;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412
18;Accompagnateur touristique;Accompagnatrice touristique;1;5113;5113;5113;5113;5113;5113;5113;5113;5113;5113;5113;5113;5113
19;Accompagnateur de transport;Accompagnatrice de transport;1;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111
20;Accompagnateur de transport de personnes à mobilité réduite (TPMR);Accompagnatrice de transport de personnes à mobilité réduite (TPMR);1;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111;5111
21;Accompagnateur des transports scolaires;Accompagnatrice des transports scolaires;1;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112;5112
22;Accrocheur en ardoisières;Accrocheuse en ardoisières;1;7121;7121;7121;7121;7121;7121;7121;7121;7121;7121;7121;7121;7121
23;Accrocheur de wagons;Accrocheuse de wagons;1;8312;8312;8312;8312;8312;8312;8312;8312;8312;8312;8312;8312;8312
24;Accueillant familial;Accueillante familiale;1;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412;3412
25;Achemineur (logistique);Achemineuse (logistique);1;4323;4323;4323;4323;4323;4323;4323;4323;4323;4323;4323;4323;4323
26;Acheteur approvisionneur du BTP;Acheteuse approvisionneuse du BTP;1;3323;3323;3323;3323;3323;3323;3323;3323;3323;3323;3323;3323;3323
