V1,art_id,lang,nb_songs,dz_name,mbz_artist_id,sc_artist_id
474,1191615,fr,649,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a,2265158
672,5288900,fr,106,Niska,e369e789-6f07-4ce8-a70f-e136bc57bf3b,4873189
1002,8706544,en,200,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
1113,416239,en,219,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
1304,1042268,fr,39,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
1433,384236,en,278,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
1661,1519461,fr,70,PNL,da04991d-8e8a-43be-9892-1e6342a77410,1936284
1745,5111084,fr,110,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9,1180989
3135,455796,fr,155,Leto,635e50a0-3c8f-4675-a0e6-9e3555cc4e0a,5468234
3143,5542343,fr,136,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1,4847604
3366,4448630,fr,108,Maes,74def643-c770-470d-a0b5-21c0fa60069e,5278902
4399,10189104,fr,88,Soolking,530a9937-4229-4d7e-8457-4853d7d5dd7a,6403312
4507,1412564,fr,81,Nekfeu,d721866d-5640-44ee-87f7-23dd062abd8a,900257
4745,4803754,fr,120,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
4915,198,fr,206,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
4987,8873540,fr,55,Gazo,dae7d996-38fe-4578-bf75-1e2510f522bb,5496198
5139,13962203,fr,71,Zola,3134d99c-a372-424a-9f65-d2dacfdccaba,1345896
5421,4429712,fr,159,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
5702,3469,en,261,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,567274
5927,1479842,fr,120,PLK,55304866-1b79-4365-a6b1-961c95e9fc57,5096340
6149,4842061,fr,232,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814,3690398
6160,4050205,en,226,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
6658,892,en,316,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
6867,292949,fr,118,Dinos,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979,1136202
7146,13011,fr,282,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
7157,9930130,fr,137,Djadja & Dinaz,a4ab6bb1-2b7e-4d5f-bad6-dcd6b6daa5d6,3864820
7658,5175734,fr,145,Vald,062ab94e-b7a5-47a9-b3f4-cc1750c3f859,950572
8511,12526056,fr,121,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb,5125715
8576,259729,fr,200,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca,627192
9034,259467,fr,63,Orelsan,6cad3ce5-6380-4594-a8da-ae7d273b683d,789245
9228,4087782,fr,183,Lacrim,10df38da-1292-4881-bd96-c6dfead3934b,859596
9398,75491,en,348,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
9682,4889156,fr,47,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
10292,542,en,638,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
10295,198,en,286,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
10690,74463,fr,101,Timal,b0dfa8b9-cd40-43eb-9472-c02cb1db3297,3964938
10972,564,en,380,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,520084
11146,8909272,fr,75,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01,4843823
11706,7365500,fr,97,Josman,d6f204c1-ea79-4ad0-bac3-862faad14130,4816066
11743,13918545,fr,42,Tiakola,2bd0c272-dd22-4395-8381-18fa2fa59f1e,5061175
12447,604107,fr,58,SDM,ee5acbd5-d291-4fe1-a06a-88060b131b77,5583003
12756,13,en,331,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,57633
13291,310260,fr,56,Stromae,ab2528d9-719f-4261-8098-21849222a0f2,828329
13992,390,fr,218,Booba,785c0e9c-89f6-4bf4-8296-443a46632d62,522394
14062,162665,fr,140,SCH,070a4a70-705b-41ba-a30a-cac559c781f8,5263675
14068,14621667,fr,89,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1,4814922
14080,4510044,fr,60,Laylow,b04c952c-16c4-41ad-bd62-ace5047cdf6e,4289648
14178,9197980,fr,82,Damso,71ff695e-896a-4043-aea4-93eadde08d09,4289606
14329,10725097,fr,71,Yanns,f4703541-0e73-411f-a5ff-dc8a0cb972ac,5795763
14491,542,id,1,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
14863,1412564,en,1,Nekfeu,d721866d-5640-44ee-87f7-23dd062abd8a,900257
15637,4087782,es,1,Lacrim,10df38da-1292-4881-bd96-c6dfead3934b,859596
16218,1191615,ru,1,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a,2265158
