"";"hashed_id";"profession_declaree";"profession_recode"
"1";10371;"Aerooort";NA
"2";3525;"maintenance";NA
"3";3405;"Responsable des achats du commerce";"Responsable des achats du commerce"
"4";4149;"Bts tourisme en alternance option hôtellerie de plein air";NA
"5";8077;"Apprenti couvreur";"Apprenti couvreur"
"6";4264;"Cadre technique de fabrication industrielle";"Cadre technique de fabrication industrielle"
"7";3069;"Agent de fabrication en matériaux composites";"Agent de fabrication en matériaux composites"
"8";3448;"Étudiante en thèse de biologie";"Doctorant contractuel"
"9";9935;"Plâtrier-plaquiste";"Plâtrier-plaquiste"
"10";6504;"Développeur full-stack";"Développeur full-stack"
"11";908;"Paysagiste";"Paysagiste"
"12";9124;"Laborantin de l'industrie";"Laborantin de l'industrie"
"13";9991;"Hôtesse de caisse";"Hôtesse de caisse"
"14";9013;"Brigadier-chef de police nationale";"Brigadier-chef de la police nationale"
"15";3348;"Employé administratif (gestion)";"Employé administratif (gestion)"
"16";16;"Enseignant (professeur des écoles)";"Enseignant (professeur des écoles)"
"17";10168;"Agent administratif des assurances";"Agent administratif des assurances"
"18";5414;"Agent de production de l'industrie du bois";"Agent de production de l'industrie du bois"
"19";7599;"Traminot";"Conducteur de tramway"
"20";2263;"Infirmière";"Infirmière"
"21";4703;"Clerc de notaire";"Clerc de notaire"
"22";2400;"Commerçante en habillement, lingerie, textile";"Commerçante en habillement, lingerie, textile"
"23";6656;"Agent d’accueil";"Hôte d'accueil"
"24";482;"Charge de Communication";"Chargée de communication"
"25";8026;"Expert en coopération internationale";"Consultant conseil aux entreprises"
"26";49;"Cadre technique des assurances";"Cadre technique des assurances"
"27";9429;"Employé relation client";"Assistant clientèle"
"28";8829;"Conducteur de train";"Conducteur de train"
"29";6938;"Assistante des ventes";"Assistante des ventes"
"30";1981;"Évaluateur en parfumerie";"Parfumeur-créateur"
"31";1467;"Azerty";NA
"32";1289;"Développeur foncier";"Développeur foncier"
"33";6738;"Directeur de projet informatique";"Directeur de projet informatique"
"34";1782;"Coordinateur administratif";"Cadre administratif d'entreprise"
"35";472;"Chef de cuisine";"Chef de cuisine"
"36";3532;"Pâtissier";"Pâtissier"
"37";9192;"Enseignante";"Enseignant certifié en collège"
"38";6040;"Cariste docker";"Cariste docker"
"39";9802;"Infirmière à domicile";"Infirmière à domicile"
"40";7587;"Blanchisseuse";"Blanchisseuse"
"41";8061;"Ouvrière de l'industrie de la maroquinerie";"Ouvrière de l'industrie de la maroquinerie"
"42";17;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"43";4639;"Coordinateur QHSE";"Inspecteur hygiène et sécurité"
"44";9906;"Agent de maîtrise d'exploitation agricole";"Agent de maîtrise d'exploitation agricole"
"45";4034;"Juriste";"Juriste"
"46";7621;"Responsable achats de l'industrie";"Responsable achats de l'industrie"
"47";439;"Operateur";"Ouvrier d'assemblage mécanique"
"48";7053;"Conseillère formation individu";"Conseillère en formation"
"49";4943;"Esthéticienne";"Esthéticienne"
"50";1690;"Responsable achats et approvisionnements de l'industrie";"Responsable achats et approvisionnements de l'industrie"
"51";8571;"Gendarme adjointe volontaire";"Gendarme adjointe volontaire"
"52";3425;"Architecte d’intérieur";"Architecte d'intérieur"
"53";3841;"Assistante commerciale et administrative";"Assistante commerciale et administrative"
"54";3006;"Apprentie comptable";"Aide comptable"
"55";3893;"Fonctionnaire";NA
"56";8070;"Chef d’entreprise";"Chef d'entreprise de l'industrie"
"57";4874;"Technicien de méthodes";"Technicien de méthodes"
"58";1277;"Chef d entreprise";"Chef d'entreprise de l'industrie"
"59";479;"Clerc de notaire";"Clerc de notaire"
