mbid,end_date_year
c5c91a2c-e8a2-42be-83f0-cacdd29eee5e,2020
1b3e4e4c-d186-4e1b-88f2-fb1306fb2708,2019
bc252f72-83dd-41ba-9b91-c8a3771b90a5,1997
9fb7dd5c-93ef-41c8-9884-20257fdcf37c,1951
42a54baa-0751-4613-8184-23d20853d377,2014
bc895a8a-0a95-4a34-9699-d0325e1ebe85,2021
da5344f5-cdd5-42e2-aae3-4fa3069823af,2009
a06ec3f8-5b5f-4141-ad84-880da5cfeeb2,1777
0d76fadb-d412-41d8-960d-a8f62d19f53d,1975
48bc7992-799c-4ba5-8aa4-7e6f24b9c4e1,2010
c1ec5e28-bf52-44ef-83b4-1aa325f1c01e,1982
f174ae25-bf32-4f09-95e6-08bd070e1643,2021
ab58ff53-0bf0-4bb0-a25c-31b76dd158ce,2016
2e0dded8-aed9-415e-8865-0014e66ac1c7,2023
8885f5ca-4c68-435a-998d-747c869a4476,1963
6a4c47eb-4a69-455c-8dc6-74733ea25c72,1939
bcf61983-8446-4359-9c1a-e618ed7284fb,1952
eb00d87c-c7f9-4aea-b4c2-356f59f43884,2008
017509af-0829-4043-b99a-e533a290ed01,2010
5693f497-9091-4a61-bfa1-c8f435c29831,2000
24551b10-889b-4a33-8aba-515ef1d23fd7,1968
02e8e355-70e6-4639-b907-213eeff015e7,1775
4d371cbc-d470-41d4-b8c1-06d996ce3c99,2010
fc561958-fdf4-4ed8-b6f9-896b518f6b94,1967
260260dd-7d4a-4ccd-8f4e-b2d6d505c5d9,2003
841f15e9-86ec-4e4e-a8ea-991bd510c714,1895
d095f6b1-e8f9-4f89-94b9-1694ba8b7d48,2021
34b42496-f835-41ef-83d3-166be6991705,1992
8364fa77-99ef-4d50-969e-2bd2e66a1f44,2025
487964e9-17d4-4c02-938b-65d21eed3d14,2025
318ebc9a-baf0-44fa-9681-a1be47386728,2009
e244f214-cc32-4d85-b14b-7fcd9f2ba742,1950
28823b6d-7471-43a3-8fc2-bcc8d5e0d933,1969
653056ed-d711-49b7-bcf6-15d8a64d07f3,2022
036afd90-9d4a-4993-8464-090ee407dd8d,1968
752e6403-d74d-4e88-82f2-4a24be323128,2015
585c1a84-d889-42a6-89d7-8f5833a2a804,1985
a1000321-6ae9-4565-8a40-e97846a8d1ad,2021
310cdade-fa01-4435-ba64-b34774800580,1959
a579608a-f86e-4e06-aafe-ccf70b310c09,1933
780b6298-04cd-433c-9ad2-f26d4079487b,2018
7fb54851-cd24-4cd5-9fac-19e2dec73be1,1996
02edf50d-edaf-4702-8a65-1487ff0299ee,1993
41514c3b-795a-489a-a193-0c92c03e1d69,2011
50887d6f-48f4-437a-9200-c73c07a172fa,2003
5fff9dea-34e6-483c-b29e-c4a1e9725dcd,2023
e919c8f3-eef5-4545-b4ab-f4b854760db1,2009
c1fb4216-c18a-459f-ba6a-bc1013e3c03f,1940
ded38c03-b290-43dd-a0ca-4415f90ea65f,1942
f201cf3e-326f-4dd4-8570-25a9448e6fc1,1964
79551b8e-2f79-414a-8098-d36f808e5252,1981
240d8feb-61b7-4e95-819a-080a8314478a,1992
0de10eee-da55-42fc-8cda-51f97fab6334,1959
0d28ad7a-2665-4fcf-a762-a9bea0f7246a,2014
037162c2-beb1-4e1c-a381-7713f69c7730,2022
7fff6fe8-e939-4aa8-93fa-b91577012750,2017
154efe01-ef9d-43eb-a59b-d1a9031e094e,1578
31345752-c705-428f-bdb7-56238bf358ce,2013
cf40c5c8-66a2-43fc-a2f2-e5c1619eab2f,1888
d640bfb3-ad5d-4b74-8e8c-b5e5fa171afe,1904
582bc3c6-3530-446f-ba6e-389bfa4c0a7b,2024
69f12a8d-e58e-48b7-aeeb-d6c2fcd2fd08,2015
1841565e-f9da-468a-9dc1-0d0725a3d01a,1988
fa4aeaa6-96b3-4dad-a6fb-09c4d73e348f,2025
fda61e63-1184-4b73-b8cb-f1d89da925d0,2004
33eaf66f-c8c8-4a59-b5fb-53e30f9275ae,2007
0b64b0df-ba3a-49ef-8c32-6613cfa2a3a7,2014
3c62a0d4-9d1f-450f-88a7-dd028d03de85,1980
1108869f-2e4d-4ff3-b08b-335171e4316d,1992
a028dbf9-4d59-4991-8ad4-3124a3f0f52c,1948
28e87b85-4a33-4f5c-add8-fa4c858fa6d9,2012
de6894d8-9dbc-4efb-a06d-9fa2624fb6b8,2003
718b66c3-06b9-4ef6-956f-86ffcae68958,2025
d3f2e99e-5366-413f-9887-095962f36ed1,1986
