release_group_mbid,artist_mbid,n_releases,album_type,genre_name,genre_votes,dz_artist_id,dz_name,sc_artist_id
974d3660-cf9b-3e12-abeb-6ce977d652b0,847e8a0c-cc20-4213-9e16-975515c2a926,14,Studio,rock,1,198,Céline Dion,60087
815b31d8-b972-48a7-b74a-38c49a277676,650e7db6-b795-4eb5-a702-5ea2fc46c848,24,Studio,dance-pop,7,75491,Lady Gaga,522177
78570bea-2a26-467c-a3db-c52723ceb394,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,35,Studio,electronic,1,4050205,The Weeknd,856411
c514ef76-51ce-49d4-aebb-1f8ba595ee1e,10df38da-1292-4881-bd96-c6dfead3934b,2,Studio,,NA,4087782,Lacrim,859596
852e109b-d04d-4bc2-a4b0-f0d1817480ec,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,22,Studio,pop rock,1,384236,Ed Sheeran,860349
df609596-bd1a-45b8-aa03-e8c0aaad8481,ee782f62-1bdb-4a0b-8fc4-3bf2a8c1f979,2,Studio,,NA,292949,Dinos,1136202
d90d5240-d510-3d82-95ba-13c6624ea28c,847e8a0c-cc20-4213-9e16-975515c2a926,21,Studio,soft rock,3,198,Céline Dion,60087
610620aa-13bf-35e8-ac9a-946f15b3431c,847e8a0c-cc20-4213-9e16-975515c2a926,1,Studio,pop,2,198,Céline Dion,60087
98c2c9cc-3cfa-4621-be13-45ee963edfa4,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,21,Studio,nu disco,1,4889156,Clara Luciani,4290170
ce87cfa3-42cc-411b-b8bc-2d92aaa73c81,ab2528d9-719f-4261-8098-21849222a0f2,7,Studio,electropop,1,310260,Stromae,828329
f70c02c9-df94-4d6f-ba59-706e8f65ac3d,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,2,Live,hip hop,2,13,Eminem,57633
5628bc44-c89b-4af6-9b76-f266d09be63c,2f548675-008d-4332-876c-108b0c7ab9c5,14,Studio,pop,5,3469,Sia,567274
949af839-c1e5-4a2b-b330-045f67d14de7,f4703541-0e73-411f-a5ff-dc8a0cb972ac,2,Studio,,NA,10725097,Yanns,5795763
802d62ee-65c3-4666-8f47-44844321a6a0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,12,Studio,pop rap,2,13,Eminem,57633
177c168a-58f1-4cb5-a60f-75e593a4ee17,cc197bad-dc9c-440d-a5b5-d52ba2e14234,1,Studio,,NA,892,Coldplay,555560
87f0287a-4afc-46a0-9c49-cf911e693342,55304866-1b79-4365-a6b1-961c95e9fc57,3,Studio,trap,1,1479842,PLK,5096340
c50b180a-12c9-3153-8ba5-eac6a6537d6f,cc197bad-dc9c-440d-a5b5-d52ba2e14234,34,Studio,art rock,1,892,Coldplay,555560
8c382a8b-8a02-3492-b881-f0fc4359ee83,847e8a0c-cc20-4213-9e16-975515c2a926,14,Studio,soft rock,2,198,Céline Dion,60087
f64c9ecc-9eae-4600-8438-7ac279ce3e35,650e7db6-b795-4eb5-a702-5ea2fc46c848,5,Live,traditional pop,1,75491,Lady Gaga,522177
f7c8f02f-a70f-442e-b279-534ea779c2e7,2bd0c272-dd22-4395-8381-18fa2fa59f1e,2,Studio,,NA,13918545,Tiakola,5061175
57115279-ee5f-4f7e-a484-148f55fa09ad,302bd7b9-d012-4360-897a-93b00c855680,15,Studio,pop,1,542,David Guetta,572836
fd3bb1b5-a544-4f43-a981-833b80cc4e30,f4703541-0e73-411f-a5ff-dc8a0cb972ac,1,Studio,,NA,10725097,Yanns,5795763
e05f9927-e24b-41c5-928d-d0e008a12444,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,33,Studio,pop rock,4,384236,Ed Sheeran,860349
71afa9d6-3d3f-4ec5-b765-ac80bdae378e,302bd7b9-d012-4360-897a-93b00c855680,6,Studio,dance-pop,2,542,David Guetta,572836
eec9d469-a3c0-42f4-9f78-08021ba3c314,6a2244c9-3122-454e-b83d-b23e2968884e,3,Studio,dancehall,2,171998,Hamza,841407
3aea4251-2a26-4798-95c7-39e2a684ff2c,e369e789-6f07-4ce8-a70f-e136bc57bf3b,5,Studio,hip hop,1,5288900,Niska,4873189
7692aa63-96c8-4acc-a8dd-46d8f3d8d00a,847e8a0c-cc20-4213-9e16-975515c2a926,1,Studio,,NA,198,Céline Dion,60087
f5234757-d54b-4000-ae6f-db1151c9ce32,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,1,Live,,NA,4050205,The Weeknd,856411
768a1cf4-84ae-4df5-ab4a-78cc9bfa30c8,012151a8-0f9a-44c9-997f-ebd68b5389f9,4,Live,pop,1,416239,Imagine Dragons,1188385
acc73398-4cf6-3603-a329-b518cada9f7f,302bd7b9-d012-4360-897a-93b00c855680,6,Studio,house,7,542,David Guetta,572836
06567a3f-a54a-46cf-89ce-a2c1a1982055,cc197bad-dc9c-440d-a5b5-d52ba2e14234,1,Live,,NA,892,Coldplay,555560
a186ae54-41a1-4b46-861c-c0d80c154556,012151a8-0f9a-44c9-997f-ebd68b5389f9,25,Studio,indie pop,1,416239,Imagine Dragons,1188385
61b7b6cd-86a6-4728-9478-b58c93bca8fd,cc197bad-dc9c-440d-a5b5-d52ba2e14234,18,Studio,rock,3,892,Coldplay,555560
61b7b6cd-86a6-4728-9478-b58c93bca8fd,cc197bad-dc9c-440d-a5b5-d52ba2e14234,18,Studio,pop,1,892,Coldplay,555560
caef5f01-8568-4573-8458-c9e99ff7c734,012151a8-0f9a-44c9-997f-ebd68b5389f9,44,Studio,indietronica,2,416239,Imagine Dragons,1188385
25326861-7224-4527-92bf-80bc0c62cb88,070a4a70-705b-41ba-a30a-cac559c781f8,2,Studio,,NA,162665,SCH,5263675
14f83b04-2b9e-4974-9169-476f26475be3,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,36,Studio,trap soul,1,4050205,The Weeknd,856411
