release_group_name,release_count,first_release_date_year,artist_position,mbid,primary_type_name,secondary_type_name,dz_artist_id,dz_name,sc_artist_id
"2022-09-03: Belluna Dome, Tokorozawa, Japan",1,2022,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Album,Live,75491,Lady Gaga,522177
Bad,4,2014,0,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
Jaloux,1,2018,0,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,Single,,4803754,Dadju,4884911
Crazy What Love Can Do (Öwnboss remix),2,2022,0,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
Dedans,1,2016,0,55304866-1b79-4365-a6b1-961c95e9fc57,EP,,1479842,PLK,5096340
Before the Relapse 2,1,NA,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,Compilation,13,Eminem,57633
Eyes Closed (piano version),2,2023,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Single,Remix,384236,Ed Sheeran,860349
Shady 2.0 Boys (Detroit),1,2013,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Other,,13,Eminem,57633
Dans ma paranoïa,1,2014,0,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
1000°C,1,2018,0,5386511f-b7bd-4058-9b5e-2c5dc426e1c9,Single,,5111084,Lomepal,1180989
Right Now (Remixes),2,2013,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Single,Remix,564,Rihanna,520084
Brooklyn Nights,1,2018,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Single,,75491,Lady Gaga,522177
Flying On My Own (Dave Audé Extended),1,2019,0,847e8a0c-cc20-4213-9e16-975515c2a926,Single,,198,Céline Dion,60087
my forgotten favourites,1,2024,0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,EP,,384236,Ed Sheeran,860349
Poker Face / Speechless / Your Song (live from the 52nd Annual Grammy Awards),1,2010,0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Single,Live,75491,Lady Gaga,522177
J'fais ce que j'veux de ma life,1,2016,1,8e6c44df-06fc-4852-83d0-ef0efed6630a,Single,,1191615,Jul,2265158
Love Is Religion (The Blessed Madonna remix),1,2020,0,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Single,Remix,8706544,Dua Lipa,5250517
Jauné,1,2020,0,785c0e9c-89f6-4bf4-8296-443a46632d62,Single,,390,Booba,522394
BIG TIME,1,2025,1,6a2244c9-3122-454e-b83d-b23e2968884e,Single,,171998,Hamza,841407
Ma ville & ma vie,1,2015,0,ce155ad5-afc8-4398-bf38-c99f02cd0814,Album,Mixtape/Street,4842061,Naps,3690398
Shady Beats,1,2016,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,,13,Eminem,57633
Lost in the Rhythm,1,2023,0,302bd7b9-d012-4360-897a-93b00c855680,Single,,542,David Guetta,572836
X&Y,34,2005,0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Album,,892,Coldplay,555560
"The Idol: Episode 5, Pt. 1",8,2023,0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,EP,Soundtrack,4050205,The Weeknd,856411
The E Tox: A Prelude to Relapse,1,2009,0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Album,Mixtape/Street,13,Eminem,57633
Devil in a Blue Dress,1,2012,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Album,Compilation,564,Rihanna,520084
Alors on danse (Dubdogz remix),1,2019,0,ab2528d9-719f-4261-8098-21849222a0f2,Single,Remix,310260,Stromae,828329
Goodbye (R3HAB remix),1,2018,1,302bd7b9-d012-4360-897a-93b00c855680,Single,Remix,542,David Guetta,572836
1998,2,2023,0,f4703541-0e73-411f-a5ff-dc8a0cb972ac,Album,,10725097,Yanns,5795763
Ring the Alarm (Remixes),1,2019,1,302bd7b9-d012-4360-897a-93b00c855680,EP,Remix,542,David Guetta,572836
The Don Divas,1,2009,0,73e5e69d-3554-40d8-8516-00cb38737a1c,Album,Mixtape/Street,564,Rihanna,520084
