hashed_id,profession_declaree,profession_recode
393b3fe2d82d5c2ff97bea037f971c930853283021d0e0d579c8f73b4878c157,Aerooort,NA
029ade5bf1b61c483353008e97dd7a93b9eaddee42be1974d177f2246c30d277,maintenance,NA
22e53596290407cccc82d0dd16e7b1578f4e87aa82c5c37887d4c1d5409e26b9,Responsable des achats du commerce,Responsable des achats du commerce
b5ddabddb73ef6ee28d881b982d6b9b60daf49382c501b166246c5fdca84cd10,Bts tourisme en alternance option hôtellerie de plein air,NA
5d07d5f533b0863ea9c0b0e3e5b9d2614623f5a829e0bd14b69a1fffb1fa774a,Apprenti couvreur,Apprenti couvreur
1c53ec63978d13ee41c0091db80f6ea0673d06fec117a85627851b3e77bb0dd5,Cadre technique de fabrication industrielle,Cadre technique de fabrication industrielle
b9a54481dd39a8dc30d4a0371ac25280517ced75136bfb0a40d753da6d00a8cb,Agent de fabrication en matériaux composites,Agent de fabrication en matériaux composites
84579d76780689c424e2f129f47d02cc05d9076760887e8d483b7c4ec960cb37,Étudiante en thèse de biologie,Doctorant contractuel
70fb21860eb6a3bf3267d21ce702a676004883b7c75ed8b61f056198a92f5601,Plâtrier-plaquiste,Plâtrier-plaquiste
2f2ea34bb3b6fb6337d7cabef0a3d811540723cb7637e4e60b6e092ebc3b21d2,Développeur full-stack,Développeur full-stack
7e3b981fd2971cbcc693c2724e3d10dfcff73e2e59fe49767cc43b834eb684b1,Paysagiste,Paysagiste
f7b528a05e77467d1db25a751fdf24b13ccda197853eafdb810ebfe20e241933,Laborantin de l'industrie,Laborantin de l'industrie
ec27cbbb6fc74ee3b91b206a06447f447e426aa30175207ba3d761a7892661c8,Hôtesse de caisse,Hôtesse de caisse
39506ec58157b406088fec4180c165a48e74af1606227291f710ea756e8b6476,Brigadier-chef de police nationale,Brigadier-chef de la police nationale
96488118fab6b40263f43694354fdda4ecffad992245befa129da22f1b4c5510,Employé administratif (gestion),Employé administratif (gestion)
a0dda1b7cb5f4536475839b85fb390e681ba1efcd228e6761019a320e8e26f5e,Enseignant (professeur des écoles),Enseignant (professeur des écoles)
5af8b526617ac8aefda08f04eedc37325defc6b8c55474cd10431ac8ca6a5596,Agent administratif des assurances,Agent administratif des assurances
38c2a3ff6b653d83e90880e545de22cd6ec6d0d371d751cdf090ae934c35f18a,Agent de production de l'industrie du bois,Agent de production de l'industrie du bois
e47369fabc9573cfad77986248c2800ffe56e66cda5354003d3c59c486a87e94,Traminot,Conducteur de tramway
0be7c5255ce93e033ecc833ae7653b04ff1b1c47f0d07388c24490d0ed28a07e,Infirmière,Infirmière
accd4d584dc585aee43c15af5a8450da1868409d01ddb74d61a7c7a054a0faa8,Clerc de notaire,Clerc de notaire
f9aea2219f3498b2faec4f370b5ecb1a6b1e9bb26ddd35dc0cff57abefce46db,"Commerçante en habillement, lingerie, textile","Commerçante en habillement, lingerie, textile"
f776b096f7ece948569786e410a9bbdcdb2e8ed53054511d87a13c9e6927f224,Agent d’accueil,Hôte d'accueil
f05a18a25da23634ef0e9bd07d33cd2a83cdef0ade7b2bbdf683e8041f59d5b8,Charge de Communication,Chargée de communication
62a0b019faf6b28332bf7a15c3c0b5e4324dce4055671a0665a8af499f9459e0,Expert en coopération internationale,Consultant conseil aux entreprises
a895288d421ff56ebfcf5cedd47db3407bba88bce8368c47c8b1e71771c56183,Cadre technique des assurances,Cadre technique des assurances
da057b30bcfc5fe5d9529a15d37db828443f8981db6b0c0099b930dfb5a0bc3d,Employé relation client,Assistant clientèle
0a8e4dac0e982f45bc0ca1bb52ce46f2bff592dac1edcba1d274ae897899f0ff,Conducteur de train,Conducteur de train
20231cbdcd977adf830810aeda1ab077831cb4b0062cbcd8c40ff36179346bf5,Assistante des ventes,Assistante des ventes
e5060f08cd932b8c05c8e5f9189b7621a49f8cadd2c8a8fbffa9490783a92ebd,Évaluateur en parfumerie,Parfumeur-créateur
8f70b4e9c6b6f6c257f68259d67946b546b324f60736b17a851ffa3a15c87030,Azerty,NA
e122af7ed0058e20ca5518114c16d2b1f9fc8f23c4f8a27f7b70882cf1bd8309,Développeur foncier,Développeur foncier
4889932428a356e5f66a712c509bb174ebc591a459be3be8d3bd83d2d81c7869,Directeur de projet informatique,Directeur de projet informatique
7d7796d0ce55824eecb66b76429381e7127ccab55b3ce812ab1819d2316123f7,Coordinateur administratif,Cadre administratif d'entreprise
d61b398219616d29d8c0a118e25dd87bb05c17a43e88a48d3a91eb6610227789,Chef de cuisine,Chef de cuisine
1aaffdbd6bbcd7b8d55a4bbaf4542c5088a8db6453eee126c58afae3a1c1dac4,Pâtissier,Pâtissier
179e4e9510089e7bdc71ab0ca43349ffc641418c682a9875eb15f039bcbe765d,Enseignante,Enseignant certifié en collège
323dd4bcf30558fa658186709b8b7f89986221634be769c3954b615bd8d83768,Cariste docker,Cariste docker
05e289fa89bcd31172d17bcef6e3859ccf58dca5ae288d150c0173447fc06cdc,Infirmière à domicile,Infirmière à domicile
14892596c3097ff83b1573083648c29120896364ed715430fd4800c28ad559ac,Blanchisseuse,Blanchisseuse
555c9b854ec9a0638c9f2d3683937600e26c7b8c656a2b89d064128a691216c3,Ouvrière de l'industrie de la maroquinerie,Ouvrière de l'industrie de la maroquinerie
215ac945baf4b55d64c7ffca90ff6653f51c03e3a4feaee88a2077a978090f27,Chef d’entreprise,Chef d'entreprise de l'industrie
fc934ef0c31ac9ecd495370beba73e2987db1f14b1be0916556fb4db47838b28,Coordinateur QHSE,Inspecteur hygiène et sécurité
82b584a66a1e8d2be84cac55400337b6481d4d629dedbb2e8c03411209ff69b9,Agent de maîtrise d'exploitation agricole,Agent de maîtrise d'exploitation agricole
fb23a2dc88d43d2f07a4f912029a2d61435cb5e0f71868e12ff1982cf80ad819,Juriste,Juriste
171a87318376d478c5e4fb29420ecee79ea90ae87b035f8a8e781d0e89dc4cbd,Responsable achats de l'industrie,Responsable achats de l'industrie
422302bd7e4f7c004b5816eae0dbf1a96eb9f885aa78fdf0d2056197d64164cd,Operateur,Ouvrier d'assemblage mécanique
b5be884eb0e54253a0c44bbb4bf7c8e50b4193c95cf9a54eeeaa5ea815876fae,Conseillère formation individu,Conseillère en formation
28d9666a68842ac1b1d598df66f0148ca1a6e9befc319ea05641cc4f448cbda2,Esthéticienne,Esthéticienne
0e750c54e46213f4881621e4d35abeb2db68a8f404c44ae691728c88b6417578,Responsable achats et approvisionnements de l'industrie,Responsable achats et approvisionnements de l'industrie
df216681f12fa50923ea0dc610e141ea0c5fd9d7b20420e6ae9a4fe634d86010,Gendarme adjointe volontaire,Gendarme adjointe volontaire
bf1b29448ce65ae71dcf33d2ac3f951872b046a98f5171ef3ac3e68f632aaef1,Architecte d’intérieur,Architecte d'intérieur
931ee2f3e832819fe842571ae425a5811177afbe65c1cc0c253b6b93fc250116,Assistante commerciale et administrative,Assistante commerciale et administrative
af58544bc9ca0b80f717871a89c679dfa51ca72e5deef5ab49b65b95d2a8ccba,Apprentie comptable,Aide comptable
8f0f3c391a99f3d84d575a204713a70c969c412b5a8d940267e1866cf2131eff,Fonctionnaire,NA
7539249735f36aeb60117526027d6f2cb49751f2706494dd8de053b246531a60,Chef d’entreprise,Chef d'entreprise de l'industrie
34c5216d0ccfc497d0c9c4f74bd1e0d79835a8cda37817d5bbd1a2f18de2e509,Technicien de méthodes,Technicien de méthodes
34bc099f7c19a6a336e52ca45e2e4e35adfb00a7b6c78625337123f8425fe5a5,Chef d entreprise,Chef d'entreprise de l'industrie
d4d01738f1c5e4bc269b30f0bac2742f3c3596a932043c01af40b70385578999,Clerc de notaire,Clerc de notaire
753717918c50b2f596916df645e75df62125e6f0115c753f06e4275f9513d3f9,Apprenti mécanicien automobile,Apprenti mécanicien automobile
0a6749f0357e24e6c25b4f37b2934991aa3d445325c7947fd473e4a5ae1c1fd7,Technicien intermittent du spectacle,Technicien du spectacle
6fc59158367775928d841db8b0d0086d2dad794763dd3695c4741fadfade7284,Vendeuse en station service,Vendeuse de station service
cc20ffa9bdb8a0482a511d70e80ee4ccbbb3f24f07a0a555de067f2532c17c3c,Assistante d’éducation,Assistante d'éducation (AED)
614de981bef5686a9f7339b3dd8207c052fe5531d80493114e0d4b6b2985a91b,Chef de projet maîtrise d'ouvrage des systèmes d'informations (MOA),Chef de projet maîtrise d'ouvrage des systèmes d'informations (MOA)
3ab2960265fec94abe3850ec66a25eb623c078ed720ceea25e190ee7fdb23c62,Aide à domicile,Aide à domicile
4036e5e61013b24bb6871c8c9d7b2dd77c0ffa09a3054c792083a9c3490b3529,Directeur des ventes,Directeur des ventes
a5e99ab26afb56eba531e9eb453d475fa79bd0396751934fda6abda8a93dc992,Directrice de clientèle (50 salariés ou plus),Directrice de clientèle (50 salariés ou plus)
2a61f6cc3b3283161ecaed9a476f7d98aa352d6ed4f9214e3f90c54605c83d44,Étudiant,NA
94e95c887f0eb8b04707fc4c2f9101005162fefa552184e5e0951fd8eeacacc2,Juriste,Juriste
ef2ccb9b40b1043036495bea8bd757b4ab9e517295af7816248cf631ee026ceb,Cadre administrative des collectivités territoriales,Cadre administrative des collectivités territoriales
87b784684907926af47a3ffb4705272bbb808a1aad9c34d3dfc3d2ffd772e285,Architecture,Architecte DPLG
54b7e34711817af71594b51cef40379601c533c0e6031f124ee68c567aa79d0d,Intérimaire,NA
be3bf8d6f163fef90cd47dd90ab57bd2d9a01ba33c1f51edfaf6661dacc8a944,Agent polyvalent administratif et commercial,Agent polyvalent administratif et commercial
6c3b9dfd541aac52618053d357b9b4c506e5ba962040a592e1d38bf278733ac6,Vendeuse en bricolage,Vendeuse en bricolage
a818bbd688daab19b9569b561d8e724a58107ae073ee002a316b9522ec2a4e16,Attaché technico-commercial (vente de biens aux entreprises),Attaché technico-commercial (vente de biens aux entreprises)
c3c7984fa9305583c31a98871d58024cd08a21e804974c73a44836f9f63b9976,Ingénieur développement logiciel,Ingénieur développement logiciel
e9e045ff93151aca2c1740b0fff9029064fc380f4cee25d6086cc653cf27ad03,Chef gérant en restauration,Gérant de restaurant
e21e2148c40bc6ed7b8fa901399c4b18676057c046c05af967b0292a56a19446,Conseillère de vente,Conseillère clientèle du commerce
4e910a8ac711908d2801a166e1bf846b2ac215dd4f8d5b895839fc068ba0cc16,Directeur Ecommerce,Directeur commercial
72bcd93e4b89427a2ee45eaf275f866b5cb24e5d2013f3352e3b10e732062433,Chef de projet marketing,Chef de projet marketing
2641140c589867a31d71ced10b1e86b77a10f7b45bf2194103ef4ff98a9fca24,Plombier chauffagiste frigoriste,Plombier chauffagiste
