radio,sng_id,ts,title,played_duration,artist_id,main_genre,year,dz_name,mbz_artist_id,sc_artist_id
Rire & Chansons,1738831217,2018-11-01T22:13:46Z,Beautiful People,5,4803754,alternative,2023,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
Skyrock,2178105617,2023-03-23T17:32:24Z,La Force Tranquille,NA,1042268,pop,2023,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
Wit FM,615570462,2023-05-25T03:24:48Z,Encorps,NA,4803754,pop,2022,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
NRJ,1555331592,2022-03-17T06:43:41Z,,208,604107,hip_hop,2018,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Champagne FM,136889434,2022-07-26T08:25:08Z,Fetty Wap,NA,892,hip_hop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Mouv',114811546,2018-05-28T13:52:20Z,My Universe,168,384236,hip_hop,2019,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Beur FM,473784012,2022-10-27T13:43:59Z,2step (feat. Lil Baby),9,75491,pop,2022,Timal,b0dfa8b9-cd40-43eb-9472-c02cb1db3297,3964938
Mouv',1110062692,2020-03-30T11:45:36Z,Die For You,148,4803754,alternative,2018,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Swigg,438868572,2022-07-18T07:21:14Z,,NA,8909272,pop,2019,Tiakola,2bd0c272-dd22-4395-8381-18fa2fa59f1e,5061175
Contact FM,579893412,2018-03-09T01:48:34Z,,NA,4842061,alternative,2023,PNL,da04991d-8e8a-43be-9892-1e6342a77410,1936284
Skyrock,1409072752,2022-10-05T19:51:56Z,Bones,99,310260,alternative,2023,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Champagne FM,1529509522,2020-04-02T17:23:39Z,,NA,1412564,hip_hop,2022,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Générations,581222402,2019-11-20T08:29:23Z,Santé,NA,542,pop,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Mouv',1731547567,2023-04-25T15:54:34Z,,140,5111084,hip_hop,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Hitwest,142986200,2023-03-30T08:24:08Z,,193,14621667,,2018,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
Swigg,2150767297,2018-12-26T10:10:20Z,Bad Habits,216,1191615,hip_hop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
RTL2,1614228192,2019-03-25T07:44:26Z,Jefe,151,13962203,pop,2020,Stromae,ab2528d9-719f-4261-8098-21849222a0f2,828329
Wit FM,1573406512,2022-01-09T04:54:18Z,Take My Breath,224,1042268,pop,2022,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Beur FM,1718052197,2019-04-11T13:26:18Z,,5,13011,hip_hop,2022,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Beur FM,783257002,2022-05-03T23:52:38Z,,NA,13,r&b,2022,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814,3690398
Wit FM,1746321767,2022-03-03T01:31:25Z,Shape of You,NA,5111084,pop,2022,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Skyrock,698747302,2023-01-19T11:24:55Z,,172,1042268,pop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Voltage FM,1820662967,2022-11-21T11:41:26Z,Cœur,171,198,hip_hop,2022,SDM,ee5acbd5-d291-4fe1-a06a-88060b131b77,5583003
Skyrock,700948842,2020-02-03T10:40:19Z,Symphony,238,416239,hip_hop,2022,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Vibration,67234288,2019-07-01T15:33:00Z,Follow You,10,384236,hip_hop,2019,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Swigg,576851252,2018-03-20T23:28:37Z,TOUT VA BIEN (feat. Ninho & Naps),NA,4889156,edm,2018,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Mouv',1573406512,2023-04-18T06:54:09Z,Suavemente,184,259467,electronic,2023,Ninho,41fe37a6-f4bb-4340-9c14-e2c8e5d854f1,4847604
Contact FM,62290954,2022-07-17T06:22:19Z,Track 5,6,8909272,hip_hop,2022,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
Skyrock,1960576327,2023-01-18T05:15:07Z,,NA,4448630,hip_hop,2022,Booba,785c0e9c-89f6-4bf4-8296-443a46632d62,522394
Swigg,881053122,2018-06-25T20:10:07Z,,187,4429712,pop,2022,Niska,e369e789-6f07-4ce8-a70f-e136bc57bf3b,4873189
Mouv',2073944277,2019-04-06T02:53:34Z,Sacrifice,NA,1042268,french_music,2019,Clara Luciani,a6386935-e6ee-4aaa-aaa8-70f56b79bc29,4290170
RFM,1114793212,2022-03-24T14:47:51Z,,160,542,hip_hop,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
NRJ,531907551,2022-12-20T08:13:33Z,Hold My Hand,185,12526056,pop,2022,PLK,55304866-1b79-4365-a6b1-961c95e9fc57,5096340
Champagne FM,1881236417,2023-04-13T20:25:29Z,Don't Start Now,158,14621667,latin_american_music,2019,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Virgin Radio,854914322,2022-03-09T18:31:29Z,Toko Toko,218,4889156,pop,2022,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
Mouv',78628739,2018-04-29T20:12:58Z,Mapessa (feat. Tiakola),NA,416239,r&b,2022,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,1188385
Skyrock,569246042,2023-01-10T13:27:39Z,On ne change pas,NA,4889156,electronic,2018,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
Chérie FM,634480422,2022-07-04T15:03:00Z,,178,390,hip_hop,2019,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
Virgin Radio,925108,2022-07-21T06:11:14Z,,NA,4889156,rock,2023,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Swigg,60978718,2022-05-19T12:30:13Z,96 Tears,204,13011,electronic,2022,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Beur FM,2222984667,2019-06-23T13:00:10Z,,NA,4448630,hip_hop,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Ouï FM,1366461832,2022-07-26T03:44:26Z,,NA,4050205,pop,2019,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
Voltage FM,1809158027,2023-05-02T02:20:52Z,Fever,184,542,pop,2023,Niska,e369e789-6f07-4ce8-a70f-e136bc57bf3b,4873189
RFM,1614228192,2023-01-21T03:36:26Z,Tout oublier,NA,564,alternative,2019,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
Swigg,1544258312,2022-02-16T23:28:00Z,,161,564,hip_hop,2019,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Générations,1539663882,2022-02-02T16:52:10Z,Shallow,161,1412564,pop,2018,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a,2265158
Mouv',1960576327,2022-09-06T16:57:46Z,Thing For You,216,4889156,pop,2022,GIMS,b2fbd053-4380-412c-95d2-35c6da8f1011,5263805
Alouette,546875592,2018-11-23T16:30:02Z,Room 69,NA,542,hip_hop,2022,Aya Nakamura,cf580d82-3f3e-4b86-8874-7e0fbe794f01,4843823
Contact FM,1406939652,2022-01-24T17:23:25Z,Fetty Wap,NA,384236,hip_hop,2018,Dadju,ecca82a9-0b5f-4b01-86aa-6b9fe62b09fe,4884911
Wit FM,1123203302,2019-03-31T07:33:40Z,Follow You,NA,198,hip_hop,2018,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Fun Radio,1790984457,2018-11-22T17:08:32Z,,NA,310260,hip_hop,2019,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,57633
Voltage FM,908604622,2019-06-08T15:27:07Z,,170,5288900,pop,2018,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,5250517
Ouï FM,613579632,2019-01-06T10:44:55Z,Filtré,253,13,hip_hop,2020,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
Chérie FM,1107603602,2020-03-20T08:25:25Z,Shivers,NA,13011,pop,2019,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,555560
kiss fm,2006902917,2019-03-18T02:31:13Z,,6,8909272,r&b,2022,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Fun Radio,771486492,2019-01-25T15:59:50Z,,NA,3469,pop,2022,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,856411
Hotmixradio Hits,1544258312,2022-02-05T20:37:39Z,,NA,4803754,latin_american_music,2018,Soprano,e52815f0-0db9-49b2-acb7-1af6b2dfa936,627188
Mouv',1539663882,2022-10-12T19:05:27Z,No No No,161,384236,hip_hop,2022,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,522177
Swigg,1372185412,2022-10-29T02:12:31Z,Hold My Hand,176,4050205,pop,2020,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926,60087
Fun Radio,1662709912,2022-06-01T12:39:10Z,Celestial,NA,604107,alternative,2018,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,520084
Fun Radio,1881236417,2019-11-28T09:51:13Z,Libre,NA,384236,pop,2022,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,572836
Contact FM,1798370057,2022-07-20T13:04:49Z,Track 5,168,259729,hip_hop,2022,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
Mouv',1801216177,2019-12-31T05:40:39Z,,NA,4050205,pop,2022,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,567274
Alouette,581222272,2018-04-09T11:36:53Z,,152,4050205,french_music,2023,Angèle,dcd4701d-64ec-443d-bfbf-73fc87c44bd6,4807932
NRJ,579893412,2022-08-25T01:04:36Z,,188,564,pop,2019,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,860349
Mouv',1366461782,2019-09-08T23:55:56Z,,NA,892,pop,2022,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,57633
