art_id,lang,nb_songs
3998,en,146
145488,en,77
7674918,pt,122
167582,en,157
168638,de,35
5009912,en,49
784,en,157
66991,en,141
95349,en,40
1456,en,39
12129,en,44
282249,en,44
4003,en,208
2310,en,317
420251,en,31
76023,en,155
4286880,ru,250
9492,it,800
281,en,99
1422,en,89
15049,tr,114
7959,en,33
7448,en,123
16619,en,281
70767,en,341
1018,fr,238
719,en,689
173176,en,69
3266,en,115
64121,it,235
2056111,sv,38
3102,en,257
4742,en,444
241708,es,135
14003,pl,38
183641,en,350
73396,pt,173
2498,en,493
5429,en,67
75120,en,49
2859,en,169
9128754,es,35
3425,en,68
308304,fr,127
4186,en,258
12487862,es,61
9680,en,72
12824163,en,32
69925,en,234
7907,en,105
12777,en,261
670,fr,338
130362,en,54
61474832,pt,140
397164,en,80
5512,en,114
76669,en,64
242817,es,364
83306,en,178
4776950,ru,109
179009,en,155
175,en,178
1652,en,130
492,hi,270
4675,fr,254
5171069,en,131
7473,en,190
12736,en,235
2055,en,124
1783,en,111
4860761,es,152
805677,en,39
111244,en,42
16359,en,155
48531152,es,34
6707,es,171
1593024,de,190
161182,en,63
4485144,ja,157
86373,en,244
62548,en,53
4903,es,153
1533870,de,190
2468,en,170
2829671,es,76
4344738,en,84
3485,en,239
186631,es,73
6249,en,113
11298502,en,35
110791,en,66
8541276,en,39
48876371,en,42
5692,en,37
4073430,en,57
5576810,pt,57
3868,en,118
17057,en,47
1406209,ja,100
9090752,ar,62
298968,en,54
258,en,140
241756,en,42
69435,de,288
7917368,en,66
151796,en,282
92366,it,78
10185674,pt,73
13168,en,60
92590,es,38
77959,en,71
616943,en,188
1193406,en,80
61682,en,203
5112746,en,81
1592801,es,129
7326,en,178
4990,es,268
2984,en,85
9150,en,69
5595471,nl,43
185358,es,97
8734,es,48
303670,en,46
481216,tr,90
6603,en,232
9492,en,189
128336,pt,140
77368,en,185
5494,en,350
15588,pt,263
2851,it,260
245047,en,39
12668305,en,90
6050,de,220
77040,es,71
13521,pt,195
1320,en,206
389902,en,84
1399953,de,106
291081,ru,87
13072,en,186
16317,de,383
5091,en,71
1077611,en,85
17027,en,84
78363,en,108
64700,en,44
12077858,en,33
94845,hi,73
331723,es,69
563,en,122
389451,en,105
7934112,es,55
15582,fr,300
5868765,en,50
209423,en,73
877980,es,54
152122,en,43
98306,en,65
1005400,en,37
211030,en,33
77916,de,308
2982,en,45
50248322,en,62
58968,fr,47
1580,en,39
2993,en,99
4884,de,117
965,en,44
90401,en,60
